
-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321806e+01 -1.239154e+01 -inf -inf -inf -inf -1.169329e+01 -3.010307e-01 -3.010300e-01 -1.101313e+01 -1.232522e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.669861e+01 -1.769880e+01 -1.774434e+01 -2.000000e+00 -8.054158e+00 -7.227586e+00 -1.562481e+01 -1.488080e+01 -1.317546e+01 -2.610786e+01 -6.529393e+00 -3.010335e-01 -3.010301e-01 -5.849226e+00 -7.161312e+00 -8.851872e+00 -2.124005e+01 -3.502423e+01 -4.342544e+01 -5.804103e+01  -7.278298e+01 -8.844490e+01 -1.049414e+02 -9.302273e+01
-1.646990e+01 -1.747001e+01 -1.751564e+01 -2.000000e+00 -7.825361e+00 -6.998752e+00 -1.505146e+01 -1.442321e+01 -1.271791e+01 -2.518708e+01 -6.300596e+00 -3.010355e-01 -3.010303e-01 -5.620429e+00 -6.932514e+00 -8.623073e+00 -2.055363e+01 -3.387824e+01 -4.182384e+01 -5.598183e+01  -7.026618e+01 -8.547048e+01 -1.015094e+02 -9.004831e+01
-1.624115e+01 -1.724122e+01 -1.728690e+01 -2.000000e+00 -7.596570e+00 -6.769899e+00 -1.444892e+01 -1.396562e+01 -1.226040e+01 -2.426260e+01 -6.071805e+00 -3.010388e-01 -3.010304e-01 -5.391639e+00 -6.703722e+00 -8.394279e+00 -1.986721e+01 -3.273091e+01 -4.022228e+01 -5.392268e+01  -6.774943e+01 -8.249614e+01 -9.807746e+01 -8.707397e+01
-1.601239e+01 -1.701243e+01 -1.705815e+01 -2.000000e+00 -7.367784e+00 -6.541007e+00 -1.382090e+01 -1.350805e+01 -1.180295e+01 -2.333214e+01 -5.843019e+00 -3.010445e-01 -3.010307e-01 -5.162853e+00 -6.474933e+00 -8.165486e+00 -1.918077e+01 -3.158131e+01 -3.862075e+01 -5.186357e+01  -6.523273e+01 -7.952186e+01 -9.464559e+01 -8.409969e+01
-1.578362e+01 -1.678365e+01 -1.682938e+01 -2.000000e+00 -7.139002e+00 -6.312051e+00 -1.317309e+01 -1.305048e+01 -1.134559e+01 -2.239223e+01 -5.614238e+00 -3.010541e-01 -3.010312e-01 -4.934072e+00 -6.246148e+00 -7.936695e+00 -1.849430e+01 -3.042793e+01 -3.701924e+01 -4.980448e+01  -6.271607e+01 -7.654761e+01 -9.121377e+01 -8.112544e+01
-1.555484e+01 -1.655486e+01 -1.660060e+01 -2.000000e+00 -6.910228e+00 -6.082987e+00 -1.251122e+01 -1.259292e+01 -1.088839e+01 -2.143813e+01 -5.385463e+00 -3.010703e-01 -3.010321e-01 -4.705299e+00 -6.017368e+00 -7.707904e+00 -1.780775e+01 -2.926839e+01 -3.541774e+01 -4.774541e+01  -6.019943e+01 -7.357341e+01 -8.778198e+01 -7.815123e+01
-1.537182e+01 -1.637183e+01 -1.641758e+01 -2.000000e+00 -6.727216e+00 -5.899619e+00 -1.197482e+01 -1.222688e+01 -1.052282e+01 -2.066075e+01 -5.202451e+00 -3.010910e-01 -3.010332e-01 -4.522289e+00 -5.834347e+00 -7.524870e+00 -1.725844e+01 -2.833389e+01 -3.413656e+01 -4.609818e+01  -5.818615e+01 -7.119407e+01 -8.503659e+01 -7.577189e+01
-1.514304e+01 -1.614304e+01 -1.618879e+01 -2.000000e+00 -6.498466e+00 -5.670196e+00 -1.129867e+01 -1.176936e+01 -1.006625e+01 -1.966654e+01 -4.973701e+00 -3.011328e-01 -3.010354e-01 -4.293541e+00 -5.605580e+00 -7.296075e+00 -1.657164e+01 -2.715287e+01 -3.253512e+01 -4.403918e+01  -5.566959e+01 -6.821995e+01 -8.160492e+01 -7.279775e+01
-1.491425e+01 -1.591425e+01 -1.596001e+01 -2.000000e+00 -6.269745e+00 -5.440456e+00 -1.061851e+01 -1.131187e+01 -9.610436e+00 -1.864350e+01 -4.744976e+00 -3.012037e-01 -3.010392e-01 -4.064822e+00 -5.376827e+00 -7.067275e+00 -1.588462e+01 -2.595124e+01 -3.093373e+01 -4.198025e+01  -5.315311e+01 -6.524593e+01 -7.817335e+01 -6.982367e+01
-1.468546e+01 -1.568547e+01 -1.573122e+01 -2.000000e+00 -6.041078e+00 -5.210356e+00 -9.935956e+00 -1.085444e+01 -9.155962e+00 -1.759078e+01 -4.516295e+00 -3.013236e-01 -3.010455e-01 -3.836150e+00 -5.148098e+00 -6.838467e+00 -1.519729e+01 -2.472123e+01 -2.933243e+01 -3.992143e+01  -5.063677e+01 -6.227206e+01 -7.474195e+01 -6.684964e+01
-1.445668e+01 -1.545668e+01 -1.550244e+01 -2.000000e+00 -5.812515e+00 -4.979994e+00 -9.252041e+00 -1.039711e+01 -8.703920e+00 -1.651141e+01 -4.287686e+00 -3.015267e-01 -3.010563e-01 -3.607556e+00 -4.919408e+00 -6.609643e+00 -1.450965e+01 -2.345548e+01 -2.773128e+01 -3.786279e+01  -4.812065e+01 -5.929845e+01 -7.131082e+01 -6.387554e+01
-1.427365e+01 -1.527365e+01 -1.531941e+01 -2.000000e+00 -5.629805e+00 -4.795735e+00 -8.704406e+00 -1.003137e+01 -8.345299e+00 -1.563260e+01 -4.104881e+00 -3.017864e-01 -3.010701e-01 -3.424773e+00 -4.736503e+00 -6.426563e+00 -1.395938e+01 -2.241362e+01 -2.645052e+01 -3.621609e+01  -4.610800e+01 -5.691986e+01 -6.856624e+01 -6.149596e+01
-1.404486e+01 -1.504486e+01 -1.509062e+01 -2.000000e+00 -5.401780e+00 -4.565858e+00 -8.019711e+00 -9.574426e+00 -7.903351e+00 -1.452069e+01 -3.876538e+00 -3.023099e-01 -3.010979e-01 -3.196475e+00 -4.507966e+00 -6.197665e+00 -1.327157e+01 -2.107290e+01 -2.484992e+01 -3.415813e+01  -4.359269e+01 -5.394720e+01 -6.513609e+01 -5.852009e+01
-1.381607e+01 -1.481607e+01 -1.486183e+01 -2.000000e+00 -5.174633e+00 -4.336802e+00 -7.335433e+00 -9.117927e+00 -7.472622e+00 -1.340025e+01 -3.648473e+00 -3.031951e-01 -3.011448e-01 -2.968493e+00 -4.279603e+00 -5.968660e+00 -1.258391e+01 -1.968958e+01 -2.324992e+01 -3.210091e+01  -4.107825e+01 -5.097557e+01 -6.170688e+01 -5.553937e+01
-1.358729e+01 -1.458729e+01 -1.463304e+01 -2.000000e+00 -4.949615e+00 -4.108665e+00 -6.652601e+00 -8.662173e+00 -7.058923e+00 -1.227777e+01 -3.420823e+00 -3.046907e-01 -3.012241e-01 -2.741006e+00 -4.051532e+00 -5.739420e+00 -1.189595e+01 -1.826475e+01 -2.165091e+01 -3.004485e+01  -3.856513e+01 -4.800556e+01 -5.827885e+01 -5.254433e+01
-1.338317e+01 -1.458729e+01 -1.441120e+01 -2.000000e+00 -4.753485e+00 -3.906027e+00 -6.036424e+00 -8.252771e+00 -6.707751e+00 -1.125006e+01 -3.218209e+00 -3.068735e-01 -3.013397e-01 -2.538685e+00 -3.848480e+00 -5.534422e+00 -1.126975e+01 -1.690312e+01 -2.015940e+01 -2.810050e+01  -3.615709e+01 -4.512411e+01 -5.491094e+01 -4.959255e+01
-1.317231e+01 -1.458729e+01 -1.418935e+01 -2.000000e+00 -4.562075e+00 -3.697807e+00 -5.406106e+00 -7.830128e+00 -6.368115e+00 -1.020006e+01 -3.009404e+00 -3.104880e-01 -3.015309e-01 -2.330502e+00 -3.639415e+00 -5.321576e+00 -1.061357e+01 -1.545285e+01 -1.861040e+01 -2.607427e+01  -3.363702e+01 -4.209440e+01 -5.134043e+01 -4.637751e+01
-1.295721e+01 -1.466365e+01 -1.396584e+01 -2.000000e+00 -4.393299e+00 -3.487079e+00 -4.784985e+00 -7.402733e+00 -6.041366e+00 -9.173588e+00 -2.796571e+00 -3.164475e-01 -3.018454e-01 -2.118978e+00 -3.427236e+00 -5.101960e+00 -9.921687e+00 -1.396397e+01 -1.705324e+01 -2.404433e+01  -3.112204e+01 -3.908673e+01 -4.778999e+01 -4.304574e+01
-1.273924e+01 -1.469030e+01 -1.374413e+01 -2.000000e+00 -4.275844e+00 -3.277402e+00 -4.199796e+00 -6.975634e+00 -5.715450e+00 -8.208359e+00 -2.580260e+00 -3.262188e-01 -3.023585e-01 -1.905193e+00 -3.213865e+00 -4.874230e+00 -9.139989e+00 -1.245737e+01 -1.550186e+01 -2.202746e+01  -2.863157e+01 -3.612664e+01 -4.426793e+01 -3.967378e+01
-1.251928e+01 -1.482600e+01 -1.352143e+01 -2.000000e+00 -4.237689e+00 -3.077259e+00 -3.684198e+00 -6.552069e+00 -5.378497e+00 -7.335583e+00 -2.360331e+00 -3.420857e-01 -3.031823e-01 -1.689097e+00 -3.000730e+00 -4.634268e+00 -8.136226e+00 -1.093758e+01 -1.395657e+01 -2.001904e+01  -2.615158e+01 -3.319089e+01 -4.072300e+01 -3.629532e+01
-1.229992e+01 -1.478371e+01 -1.330135e+01 -2.000000e+00 -4.281206e+00 -2.903612e+00 -3.271951e+00 -6.135303e+00 -5.039673e+00 -6.579378e+00 -2.138629e+00 -3.671498e-01 -3.044473e-01 -1.470990e+00 -2.790611e+00 -4.372775e+00 -6.859799e+00 -9.410780e+00 -1.242310e+01 -1.802306e+01  -2.366458e+01 -3.024904e+01 -3.713179e+01 -3.292226e+01
