# ASY method (with partition functions). 
# All quantities except Asy, RG_PE, and sumX are 
# log10(x). Log of absolute values for E and dE/dt, as
# they can be negative. UNITS: t and dt in s; E in erg; 
# dE/dt in erg/g/s; all others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil sumX    X(0)      X(1)      X(2)      X(3)      X(4)      X(5)      X(6)      X(7)    

+6.511 +5.511  9.403  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.552 +5.552  9.444  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.635 +5.635  9.527  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.718 +5.718  9.610  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.800 +5.800  9.693  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.883 +5.883  9.776  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.354e+00 -1.508e+01
+6.966 +5.966  9.858  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.007 +6.007  9.900  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.090 +6.090  9.982  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.173 +6.173 10.065  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.256 +6.256 10.148  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.338 +6.338 10.231  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.380 +6.380 10.272  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.355e+00 -1.508e+01
+7.463 +6.463 10.355  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.179e+01 -2.952e+00 -5.356e+00 -1.508e+01
+7.545 +6.545 10.438  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.179e+01 -2.952e+00 -5.356e+00 -1.508e+01
+7.628 +6.628 10.520  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.179e+01 -2.952e+00 -5.356e+00 -1.508e+01
+7.711 +6.711 10.603  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.179e+01 -2.952e+00 -5.357e+00 -1.508e+01
+7.752 +6.752 10.645  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.179e+01 -2.952e+00 -5.357e+00 -1.508e+01
+7.835 +6.835 10.727  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.179e+01 -2.952e+00 -5.357e+00 -1.508e+01
+7.918 +6.918 10.810  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.429e+00 -1.179e+01 -2.952e+00 -5.358e+00 -1.508e+01
+8.001 +7.001 10.893  2.892 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.429e+00 -1.179e+01 -2.952e+00 -5.359e+00 -1.508e+01
+8.084 +7.084 10.975  2.891 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.429e+00 -1.179e+01 -2.952e+00 -5.360e+00 -1.508e+01
+8.166 +7.166 11.058  2.891 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.428e+00 -1.179e+01 -2.952e+00 -5.361e+00 -1.508e+01
+8.208 +7.208 11.099  2.891 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.428e+00 -1.179e+01 -2.952e+00 -5.362e+00 -1.508e+01
+8.291 +7.291 11.182  2.891 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.427e+00 -1.179e+01 -2.952e+00 -5.364e+00 -1.508e+01
+8.373 +7.373 11.265  2.890 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.426e+00 -1.179e+01 -2.952e+00 -5.366e+00 -1.508e+01
+8.456 +7.456 11.347  2.890 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.425e+00 -1.179e+01 -2.952e+00 -5.368e+00 -1.508e+01
+8.539 +7.539 11.430  2.890 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.424e+00 -1.179e+01 -2.952e+00 -5.371e+00 -1.508e+01
+8.580 +7.580 11.471  2.889 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.423e+00 -1.179e+01 -2.952e+00 -5.373e+00 -1.508e+01
+8.663 +7.663 11.553  2.889 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.422e+00 -1.179e+01 -2.952e+00 -5.377e+00 -1.508e+01
+8.746 +7.746 11.636  2.888 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.420e+00 -1.179e+01 -2.952e+00 -5.382e+00 -1.508e+01
+8.829 +7.829 11.718  2.887 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.417e+00 -1.179e+01 -2.952e+00 -5.387e+00 -1.508e+01
+8.911 +7.911 11.800  2.886 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.414e+00 -1.179e+01 -2.952e+00 -5.394e+00 -1.508e+01
+8.953 +7.953 11.841  2.885 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.413e+00 -1.179e+01 -2.952e+00 -5.398e+00 -1.508e+01
+9.036 +8.036 11.923  2.884 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.409e+00 -1.179e+01 -2.952e+00 -5.408e+00 -1.508e+01
+9.118 +8.118 12.005  2.882 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.404e+00 -1.179e+01 -2.952e+00 -5.419e+00 -1.508e+01
+9.201 +8.201 12.087  2.880 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.399e+00 -1.179e+01 -2.952e+00 -5.433e+00 -1.508e+01
+9.272 +8.272 12.156  2.877 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.393e+00 -1.179e+01 -2.952e+00 -5.447e+00 -1.508e+01
+9.334 +8.305 12.217  2.875 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.388e+00 -1.179e+01 -2.952e+00 -5.461e+00 -1.508e+01
+9.415 +8.415 12.297  2.872 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.379e+00 -1.179e+01 -2.952e+00 -5.483e+00 -1.508e+01
+9.479 +8.450 12.360  2.869 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.372e+00 -1.179e+01 -2.952e+00 -5.503e+00 -1.508e+01
+9.550 +8.415 12.429  2.866 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.362e+00 -1.179e+01 -2.952e+00 -5.530e+00 -1.508e+01
+9.630 +8.526 12.506  2.862 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.349e+00 -1.179e+01 -2.952e+00 -5.565e+00 -1.508e+01
+9.704 +8.473 12.577  2.857 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.336e+00 -1.179e+01 -2.952e+00 -5.604e+00 -1.508e+01
+9.780 +8.412 12.650  2.852 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.513e+00 -4.320e+00 -1.179e+01 -2.952e+00 -5.651e+00 -1.508e+01
+9.852 +8.496 12.719  2.848 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.514e+00 -4.303e+00 -1.179e+01 -2.952e+00 -5.705e+00 -1.508e+01
+9.926 +8.409 12.789  2.843 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.514e+00 -4.283e+00 -1.179e+01 -2.952e+00 -5.769e+00 -1.508e+01
+10.001 +8.458 12.861  2.838 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.514e+00 -4.260e+00 -1.179e+01 -2.952e+00 -5.847e+00 -1.508e+01
+10.075 +8.490 12.932  2.833 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.515e+00 -4.235e+00 -1.179e+01 -2.952e+00 -5.938e+00 -1.508e+01
+10.154 +8.487 13.006  2.830 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.515e+00 -4.205e+00 -1.179e+01 -2.952e+00 -6.051e+00 -1.508e+01
+10.227 +8.467 13.075  2.827 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.516e+00 -4.175e+00 -1.179e+01 -2.951e+00 -6.174e+00 -1.508e+01
+10.300 +8.411 13.145  2.826 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.517e+00 -4.141e+00 -1.179e+01 -2.951e+00 -6.318e+00 -1.508e+01
