
#    t     dt   F+(4He)   F+(12C)   F+(16O)   F+(20Ne)   F+(24Mg)   F+(28Si)   F+(32S)   F+(36Ar)   F+(40Ca)   F+(44Ti)   F+(48Cr)   F+(52Fe)   F+(56Ni)   F+(60Zn)   F+(64Ge)   F+(68Se)   F-(4He)   F-(12C)   F-(16O)   F-(20Ne)   F-(24Mg)   F-(28Si)   F-(32S)   F-(36Ar)   F-(40Ca)   F-(44Ti)   F-(48Cr)   F-(52Fe)   F-(56Ni)   F-(60Zn)   F-(64Ge)   F-(68Se)   dF(4He)   dF(12C)   dF(16O)   dF(20Ne)   dF(24Mg)   dF(28Si)   dF(32S)   dF(36Ar)   dF(40Ca)   dF(44Ti)   dF(48Cr)   dF(52Fe)   dF(56Ni)   dF(60Zn)   dF(64Ge)   dF(68Se)   
-15.096 -16.096 9.567e+00 6.859e+00 4.625e+00 9.548e+00 8.157e+00 6.400e+00 -3.991e+00 -1.556e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 2.871e+00 9.858e+00 8.193e+00 4.623e+00 1.199e+00 -1.272e+00 -1.025e+01 -2.250e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.548e+00 8.157e+00 6.400e+00 -3.991e+00 -1.556e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-15.014 -16.014 9.567e+00 6.859e+00 4.707e+00 9.548e+00 8.157e+00 6.400e+00 -3.825e+00 -1.523e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 2.954e+00 9.858e+00 8.193e+00 4.706e+00 1.282e+00 -1.189e+00 -1.001e+01 -2.209e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.548e+00 8.157e+00 6.400e+00 -3.825e+00 -1.523e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.931 -15.931 9.567e+00 6.859e+00 4.790e+00 9.548e+00 8.157e+00 6.400e+00 -3.660e+00 -1.490e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.037e+00 9.858e+00 8.193e+00 4.789e+00 1.364e+00 -1.106e+00 -9.758e+00 -2.168e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.548e+00 8.157e+00 6.400e+00 -3.660e+00 -1.490e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.848 -15.848 9.567e+00 6.859e+00 4.873e+00 9.548e+00 8.157e+00 6.400e+00 -3.494e+00 -1.457e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.120e+00 9.858e+00 8.193e+00 4.872e+00 1.447e+00 -1.023e+00 -9.510e+00 -2.127e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.548e+00 8.157e+00 6.400e+00 -3.494e+00 -1.457e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.765 -15.765 9.567e+00 6.859e+00 4.956e+00 9.548e+00 8.157e+00 6.400e+00 -3.329e+00 -1.423e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.203e+00 9.858e+00 8.193e+00 4.954e+00 1.530e+00 -9.395e-01 -9.262e+00 -2.086e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -3.329e+00 -1.423e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.682 -15.682 9.567e+00 6.859e+00 5.038e+00 9.548e+00 8.157e+00 6.400e+00 -3.163e+00 -1.390e+01 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.286e+00 9.858e+00 8.193e+00 5.037e+00 1.613e+00 -8.564e-01 -9.013e+00 -2.044e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -3.163e+00 -1.390e+01 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.600 -15.600 9.567e+00 6.859e+00 5.121e+00 9.548e+00 8.157e+00 6.400e+00 -2.998e+00 -1.357e+01 -2.395e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.369e+00 9.858e+00 8.193e+00 5.120e+00 1.696e+00 -7.731e-01 -8.765e+00 -2.003e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.998e+00 -1.357e+01 -2.395e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.558 -15.558 9.567e+00 6.859e+00 5.163e+00 9.548e+00 8.157e+00 6.400e+00 -2.915e+00 -1.341e+01 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.410e+00 9.858e+00 8.193e+00 5.161e+00 1.738e+00 -7.315e-01 -8.641e+00 -1.982e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.915e+00 -1.341e+01 -2.392e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.475 -15.475 9.567e+00 6.859e+00 5.245e+00 9.548e+00 8.157e+00 6.400e+00 -2.749e+00 -1.308e+01 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.493e+00 9.858e+00 8.193e+00 5.244e+00 1.821e+00 -6.481e-01 -8.392e+00 -1.941e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.857e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.749e+00 -1.308e+01 -2.378e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.393 -15.393 9.567e+00 6.859e+00 5.328e+00 9.548e+00 8.157e+00 6.400e+00 -2.584e+00 -1.274e+01 -2.351e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.576e+00 9.858e+00 8.193e+00 5.327e+00 1.904e+00 -5.645e-01 -8.144e+00 -1.899e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.857e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.584e+00 -1.274e+01 -2.351e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
