70 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
0       1n   1   0   1  0.00000e+00    0.000000      8.07100
1       1H   1   1   0  0.00000e+00    0.000000      7.28900
2      4He   4   2   2  0.00000e+00    0.000000      2.42500
3      11C  11   6   5  0.00000e+00    0.000000     10.65000
4      12C  12   6   6  4.16633e-02    0.499960      0.00000
5      13N  13   7   6  0.00000e+00    0.000000      5.34600
6      14N  14   7   7  0.00000e+00    0.000000      2.86300
7      15O  15   8   7  0.00000e+00    0.000000      2.85500
8      16O  16   8   8  3.12525e-02    0.500040     -4.73700
9      17O  17   8   9  0.00000e+00    0.000000     -0.80900
10     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
11     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
12     20Ne  20  10  10  0.00000e+00    0.000000     -7.04200
13     21Ne  21  10  11  0.00000e+00    0.000000     -5.73200
14     21Na  21  11  10  0.00000e+00    0.000000     -2.18400
15     23Na  23  11  12  0.00000e+00    0.000000     -9.53000
16     23Mg  23  12  11  0.00000e+00    0.000000     -5.47300
17     24Mg  24  12  12  0.00000e+00    0.000000    -13.93300
18     25Mg  25  12  13  0.00000e+00    0.000000    -13.19300
19     26Mg  26  12  14  0.00000e+00    0.000000    -16.21500
20     25Al  25  13  12  0.00000e+00    0.000000     -8.91600
21     26Al  26  13  13  0.00000e+00    0.000000    -12.20800
22     27Al  27  13  14  0.00000e+00    0.000000    -17.19700
23     27Si  27  14  13  0.00000e+00    0.000000    -12.38400
24     28Si  28  14  14  0.00000e+00    0.000000    -21.49300
25     29Si  29  14  15  0.00000e+00    0.000000    -21.89500
26     30Si  30  14  16  0.00000e+00    0.000000    -24.43300
27      29P  29  15  14  0.00000e+00    0.000000    -16.95200
28      30P  30  15  15  0.00000e+00    0.000000    -20.20100
29      31P  31  15  16  0.00000e+00    0.000000    -24.44100
30      32P  32  15  17  0.00000e+00    0.000000    -24.30500
31      33P  33  15  18  0.00000e+00    0.000000    -26.33800
32      31S  31  16  15  0.00000e+00    0.000000    -19.04500
33      32S  32  16  16  0.00000e+00    0.000000    -26.01600
34      33S  33  16  17  0.00000e+00    0.000000    -26.58600
35      34S  34  16  18  0.00000e+00    0.000000    -29.93200
36     33Cl  33  17  16  0.00000e+00    0.000000    -21.00300
37     34Cl  34  17  17  0.00000e+00    0.000000    -24.44100
38     35Cl  35  17  18  0.00000e+00    0.000000    -29.01400
39     36Cl  36  17  19  0.00000e+00    0.000000    -29.52200
40     35Ar  35  18  17  0.00000e+00    0.000000    -23.04800
41     36Ar  36  18  18  0.00000e+00    0.000000    -30.23000
42     37Ar  37  18  19  0.00000e+00    0.000000    -30.94800
43     38Ar  38  18  20  0.00000e+00    0.000000    -34.71500
44      38K  38  19  19  0.00000e+00    0.000000    -28.80200
45      39K  39  19  20  0.00000e+00    0.000000    -33.80700
46     40Ca  40  20  20  0.00000e+00    0.000000    -34.84600
47     41Ca  41  20  21  0.00000e+00    0.000000    -35.13800
48     42Ca  42  20  22  0.00000e+00    0.000000    -38.54700
49     44Ti  44  22  22  0.00000e+00    0.000000    -37.54800
50     45Ti  45  22  23  0.00000e+00    0.000000    -39.00700
51     46Ti  46  22  24  0.00000e+00    0.000000    -44.12500
52      47V  47  23  24  0.00000e+00    0.000000    -42.00400
53     48Cr  48  24  24  0.00000e+00    0.000000    -42.81500
54     49Cr  49  24  25  0.00000e+00    0.000000    -45.32500
55     50Cr  50  24  26  0.00000e+00    0.000000    -50.25500
56     51Cr  51  24  27  0.00000e+00    0.000000    -51.44500
57     51Mn  51  25  26  0.00000e+00    0.000000    -48.23700
58     52Mn  52  25  27  0.00000e+00    0.000000    -50.70100
59     53Mn  53  25  28  0.00000e+00    0.000000    -54.68400
60     52Fe  52  26  26  0.00000e+00    0.000000    -48.32900
61     53Fe  53  26  27  0.00000e+00    0.000000    -50.94100
62     54Fe  54  26  28  0.00000e+00    0.000000    -56.24800
63     55Fe  55  26  29  0.00000e+00    0.000000    -57.47500
64     55Co  55  27  28  0.00000e+00    0.000000    -54.02400
65     56Co  56  27  29  0.00000e+00    0.000000    -56.03500
66     57Co  57  27  30  0.00000e+00    0.000000    -59.34000
67     56Ni  56  28  28  0.00000e+00    0.000000    -53.90000
68     57Ni  57  28  29  0.00000e+00    0.000000    -56.07500
69     58Ni  58  28  30  0.00000e+00    0.000000    -60.22300
