-1.000 -2.000  3.373  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.403e+01 -2.952e+00 -5.354e+00 -1.662e+01
-0.900 -2.009  3.473  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.393e+01 -2.952e+00 -5.354e+00 -1.652e+01
-0.800 -1.800  3.573  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.383e+01 -2.952e+00 -5.354e+00 -1.642e+01
-0.700 -1.809  3.673  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.373e+01 -2.952e+00 -5.354e+00 -1.632e+01
-0.600 -1.600  3.773  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.363e+01 -2.952e+00 -5.354e+00 -1.622e+01
-0.500 -1.609  3.873  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.353e+01 -2.952e+00 -5.354e+00 -1.612e+01
-0.400 -1.400  3.973  4.373 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.343e+01 -2.952e+00 -5.354e+00 -1.602e+01
-0.300 -1.409  4.073  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.333e+01 -2.952e+00 -5.354e+00 -1.592e+01
-0.200 -1.200  4.173  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.323e+01 -2.952e+00 -5.354e+00 -1.582e+01
-0.100 -1.209  4.273  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.313e+01 -2.952e+00 -5.354e+00 -1.572e+01
+0.000 -1.000  4.374  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.303e+01 -2.952e+00 -5.354e+00 -1.563e+01
+0.100 -1.009  4.474  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.293e+01 -2.952e+00 -5.354e+00 -1.553e+01
+0.200 -0.800  4.574  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.283e+01 -2.952e+00 -5.354e+00 -1.543e+01
+0.300 -0.809  4.674  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.273e+01 -2.952e+00 -5.354e+00 -1.533e+01
+0.400 -0.600  4.774  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.263e+01 -2.952e+00 -5.354e+00 -1.523e+01
+0.500 -0.609  4.874  4.374 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.253e+01 -2.952e+00 -5.354e+00 -1.513e+01
+0.600 -0.400  4.974  4.375 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.243e+01 -2.952e+00 -5.354e+00 -1.503e+01
+0.700 -0.409  5.074  4.375 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.233e+01 -2.952e+00 -5.354e+00 -1.493e+01
+0.800 -0.200  5.174  4.375 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.223e+01 -2.952e+00 -5.354e+00 -1.483e+01
+0.900 -0.209  5.275  4.376 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.213e+01 -2.952e+00 -5.354e+00 -1.473e+01
+1.000 +0.000  5.375  4.376 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.203e+01 -2.952e+00 -5.354e+00 -1.464e+01
+1.100 -0.009  5.475  4.377 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.193e+01 -2.952e+00 -5.354e+00 -1.454e+01
+1.200 +0.200  5.576  4.378 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.183e+01 -2.952e+00 -5.354e+00 -1.444e+01
+1.300 +0.191  5.677  4.380 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.173e+01 -2.952e+00 -5.354e+00 -1.435e+01
+1.400 +0.400  5.777  4.381 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.163e+01 -2.952e+00 -5.354e+00 -1.425e+01
+1.500 +0.391  5.878  4.383 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.153e+01 -2.952e+00 -5.354e+00 -1.416e+01
+1.600 +0.600  5.980  4.386 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.144e+01 -2.952e+00 -5.354e+00 -1.407e+01
+1.700 +0.591  6.081  4.389 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.134e+01 -2.952e+00 -5.354e+00 -1.398e+01
+1.800 +0.800  6.183  4.392 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.124e+01 -2.952e+00 -5.354e+00 -1.390e+01
+1.900 +0.791  6.286  4.397 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.115e+01 -2.952e+00 -5.354e+00 -1.382e+01
