#gnu:          step mode eq  it     t        logt      dt       Y0[6]     logY06     Y6     logY6   Yfull[6]
3501(beginInt): 446 -1    2  0 1.0665e-08 -7.9720 1.0665e-09 6.6279e-03 -2.1786 6.6279e-03 -2.1786 6.6343e-03
3550(full):     446  0    2  0 1.0665e-08 -7.9720 1.0665e-09 6.6279e-03 -2.1786 6.5623e-03 -2.1829 6.6343e-03
3571(half1):    446  1    2  0 1.0665e-08 -7.9720 5.3326e-10 6.6279e-03 -2.1786 6.5951e-03 -2.1808 6.5623e-03
3590(half2):    446  2    2  0 1.1199e-08 -7.9508 5.3326e-10 6.5951e-03 -2.1808 6.5645e-03 -2.1828 6.5623e-03
3625(endInt):   446 -1    2  0 1.1732e-08 -7.9306 1.1732e-09 6.5951e-03 -2.1808 6.5645e-03 -2.1828 6.5623e-03
4434(final):    446 -1    1  0 1.1732e-08 -7.9306 1.1732e-09 6.5951e-03 -2.1808 6.5525e-03 -2.1836 6.5623e-03

3501(beginInt): 447 -1    1  0 1.1732e-08 -7.9306 1.1732e-09 6.5525e-03 -2.1836 6.5525e-03 -2.1836 6.5623e-03
3550(full):     447  0    1  0 1.1732e-08 -7.9306 1.1732e-09 6.5525e-03 -2.1836 6.4927e-03 -2.1876 6.5623e-03
3571(half1):    447  1    1  0 1.1732e-08 -7.9306 5.8659e-10 6.5525e-03 -2.1836 6.5226e-03 -2.1856 6.4927e-03
3590(half2):    447  2    1  0 1.2318e-08 -7.9094 5.8659e-10 6.5226e-03 -2.1856 6.4945e-03 -2.1875 6.4927e-03
3625(endInt):   447 -1    1  0 1.2905e-08 -7.8892 1.2905e-09 6.5226e-03 -2.1856 6.4945e-03 -2.1875 6.4927e-03
4434(final):    447 -1    1  0 1.2905e-08 -7.8892 1.2905e-09 6.5226e-03 -2.1856 6.4932e-03 -2.1875 6.4927e-03

3501(beginInt): 448 -1    1  0 1.2905e-08 -7.8892 1.2905e-09 6.4932e-03 -2.1875 6.4932e-03 -2.1875 6.4927e-03
3550(full):     448  0    1  0 1.2905e-08 -7.8892 1.2905e-09 6.4932e-03 -2.1875 6.4324e-03 -2.1916 6.4927e-03
3571(half1):    448  1    1  0 1.2905e-08 -7.8892 6.4525e-10 6.4932e-03 -2.1875 6.4628e-03 -2.1896 6.4324e-03
3590(half2):    448  2    1  0 1.3550e-08 -7.8681 6.4525e-10 6.4628e-03 -2.1896 6.4340e-03 -2.1915 6.4324e-03
